time,P,G(i),H_sun,T2m,WS10m,Int
20190718:2111,0.0,0.0,0.0,15.37,1.31,0.0

20190718:2211,0.0,0.0,0.0,14.79,1.31,0.0

20190718:2311,0.0,0.0,0.0,14.24,1.17,0.0

20190719:0011,0.0,0.0,0.0,13.78,1.31,0.0

20190719:0111,0.0,0.0,0.0,13.74,1.31,0.0

20190719:0211,0.0,0.0,0.0,13.67,1.52,0.0

20190719:0311,0.0,0.0,0.0,13.5,1.59,0.0

20190719:0411,0.0,0.0,0.0,13.44,1.66,0.0

20190719:0511,23.5,10.96,4.74,13.52,1.93,0.0

20190719:0611,482.1,73.36,13.02,13.69,2.14,0.0

20190719:0711,118.4,26.31,21.85,14.11,1.59,0.0

20190719:0811,202.8,38.1,30.87,14.46,1.79,0.0

