time,P,G(i),H_sun,T2m,WS10m,Int
20190705:0111,0.0,0.0,0.0,12.23,1.72,0.0

20190705:0211,0.0,0.0,0.0,11.65,1.59,0.0

20190705:0311,0.0,0.0,0.0,11.05,1.45,0.0

20190705:0411,0.0,0.0,0.0,10.42,1.45,0.0

20190705:0511,168.5,32.89,6.56,9.99,1.31,0.0

20190705:0611,273.8,48.2,14.79,11.09,1.03,0.0

20190705:0711,1632.8,238.66,23.59,12.84,1.59,0.0

20190705:0811,3630.7,454.54,32.6,14.24,1.79,0.0

20190705:0911,4735.2,584.26,41.44,15.26,2.0,0.0

20190705:1011,4458.2,553.35,49.53,16.44,2.0,0.0

20190705:1111,2732.7,342.72,55.99,16.75,2.07,0.0

20190705:1211,2944.0,368.44,59.52,17.12,2.34,0.0

20190705:1311,2880.7,361.19,58.98,17.59,2.55,0.0

20190705:1411,2011.7,257.42,54.57,18.03,2.76,0.0

20190705:1511,1708.2,221.63,47.58,18.4,2.83,0.0

20190705:1611,1493.7,196.26,39.22,18.64,2.97,0.0

20190705:1711,1200.3,161.32,30.3,18.36,2.97,0.0

20190705:1811,1105.3,153.8,21.31,18.08,2.9,0.0

20190705:1911,445.3,69.99,12.62,17.73,2.0,0.0

20190705:2011,7.2,7.59,4.58,17.27,2.28,0.0

20190705:2111,0.0,0.0,0.0,16.48,2.28,0.0

20190705:2211,0.0,0.0,0.0,15.82,2.34,0.0

20190705:2311,0.0,0.0,0.0,15.31,2.41,0.0

20190706:0011,0.0,0.0,0.0,14.76,2.34,0.0

20190706:0111,0.0,0.0,0.0,14.35,2.28,0.0

20190706:0211,0.0,0.0,0.0,13.99,2.21,0.0

20190706:0311,0.0,0.0,0.0,13.66,2.0,0.0

20190706:0411,0.0,0.0,0.0,13.45,2.07,0.0

20190706:0511,47.0,15.18,6.46,13.26,1.93,0.0

20190706:0611,359.0,58.06,14.69,13.4,2.48,0.0

20190706:0711,744.5,104.92,23.49,13.82,2.76,0.0

20190706:0811,785.4,109.78,32.5,14.06,2.55,0.0

20190706:0911,2051.2,257.77,41.34,14.17,2.28,0.0

20190706:1011,905.9,124.29,49.43,14.53,2.21,0.0

20190706:1111,751.1,106.15,55.89,14.75,1.72,0.0

20190706:1211,918.7,126.11,59.42,14.88,1.66,0.0

20190706:1311,1000.8,136.09,58.89,15.27,1.45,0.0

20190706:1411,1883.8,240.75,54.5,15.72,1.52,0.0

20190706:1511,1472.6,192.33,47.52,16.18,1.72,0.0

20190706:1611,1077.9,146.06,39.17,16.78,1.66,0.0

20190706:1711,2047.8,263.76,30.25,16.98,1.45,0.0

20190706:1811,302.7,51.71,21.26,16.91,1.1,0.0

20190706:1911,56.0,16.87,12.57,16.23,0.97,0.0

20190706:2011,0.0,5.06,4.53,16.04,0.69,0.0

20190706:2111,0.0,0.0,0.0,15.76,0.34,0.0

20190706:2211,0.0,0.0,0.0,15.48,0.62,0.0

20190706:2311,0.0,0.0,0.0,15.21,0.76,0.0

20190707:0011,0.0,0.0,0.0,14.74,0.83,0.0

20190707:0111,0.0,0.0,0.0,14.35,0.76,0.0

20190707:0211,0.0,0.0,0.0,14.26,0.41,0.0

20190707:0311,0.0,0.0,0.0,14.19,0.41,0.0

20190707:0411,0.0,0.0,0.0,13.72,0.76,0.0

20190707:0511,7.5,7.59,6.35,13.62,1.1,0.0

20190707:0611,46.9,15.18,14.59,13.45,1.45,0.0

20190707:0711,1423.2,189.3,23.39,12.77,1.86,0.0

20190707:0811,3565.2,443.19,32.4,12.85,1.79,0.0

20190707:0911,5497.6,676.52,41.23,13.11,1.59,0.0

20190707:1011,5844.1,726.83,49.32,13.87,1.52,0.0

20190707:1111,5659.6,713.09,55.78,15.02,1.1,0.0

20190707:1211,4799.0,604.54,59.31,15.95,0.9,0.0

20190707:1311,2819.8,355.92,58.79,16.81,0.97,0.0

20190707:1411,3709.1,467.64,54.42,17.62,0.97,0.0

20190707:1511,3691.4,464.87,47.46,17.84,1.03,0.0

20190707:1611,3018.6,380.94,39.12,17.93,1.17,0.0

20190707:1711,2970.1,384.96,30.2,17.98,1.45,0.0

20190707:1811,1209.4,185.22,21.21,18.06,1.52,0.0

20190707:1911,338.8,56.5,12.51,17.51,1.24,0.0

20190707:2011,66.0,18.55,4.46,16.9,1.03,0.0

20190707:2111,0.0,0.0,0.0,15.65,1.03,0.0

20190707:2211,0.0,0.0,0.0,14.9,0.69,0.0

20190707:2311,0.0,0.0,0.0,14.8,0.48,0.0

20190708:0011,0.0,0.0,0.0,12.7,1.03,0.0

20190708:0111,0.0,0.0,0.0,12.3,1.45,0.0

20190708:0211,0.0,0.0,0.0,12.0,1.45,0.0

20190708:0311,0.0,0.0,0.0,11.76,1.45,0.0

20190708:0411,0.0,0.0,0.0,11.68,1.45,0.0

20190708:0511,4.1,6.75,6.24,11.84,1.24,0.0

20190708:0611,293.9,49.75,14.48,12.67,1.1,0.0

20190708:0711,557.7,82.56,23.28,13.58,1.45,0.0

20190708:0811,821.3,114.31,32.29,14.34,1.66,0.0

20190708:0911,1119.2,149.69,41.12,14.75,1.59,0.0

20190708:1011,971.9,132.46,49.21,15.03,1.72,0.0

20190708:1111,1031.5,139.71,55.67,15.41,1.72,0.0

20190708:1211,1552.0,201.41,59.2,15.81,1.72,0.0

20190708:1311,1463.5,191.43,58.69,16.33,1.66,0.0

20190708:1411,1805.7,232.58,54.34,16.97,1.72,0.0

20190708:1511,2043.4,261.47,47.39,17.2,1.38,0.0

20190708:1611,1691.4,219.8,39.06,17.64,1.38,0.0

20190708:1711,1481.8,195.36,30.14,17.68,1.31,0.0

20190708:1811,605.3,89.82,21.15,17.76,1.45,0.0

20190708:1911,437.5,69.15,12.45,17.76,0.41,0.0

20190708:2011,65.9,18.55,4.39,17.26,0.83,0.0

20190708:2111,0.0,0.0,0.0,16.46,0.97,0.0

20190708:2211,0.0,0.0,0.0,15.72,1.03,0.0

20190708:2311,0.0,0.0,0.0,14.82,1.24,0.0

20190709:0011,0.0,0.0,0.0,14.03,1.24,0.0

20190709:0111,0.0,0.0,0.0,13.47,1.17,0.0

20190709:0211,0.0,0.0,0.0,12.94,1.24,0.0

20190709:0311,0.0,0.0,0.0,12.61,1.17,0.0

20190709:0411,0.0,0.0,0.0,12.34,1.1,0.0

20190709:0511,124.1,26.98,6.12,12.44,0.97,0.0

20190709:0611,585.3,86.01,14.37,13.58,0.55,0.0

20190709:0711,1336.9,180.57,23.17,14.95,0.76,0.0

20190709:0811,3132.5,397.09,32.18,16.07,1.03,0.0

20190709:0911,4448.5,557.93,41.01,17.26,1.24,0.0

20190709:1011,5455.2,689.17,49.09,18.79,1.93,0.0

20190709:1111,3641.3,459.66,55.54,19.71,2.0,0.0

20190709:1211,4089.6,517.74,59.08,20.32,2.07,0.0

20190709:1311,4187.5,531.13,58.59,20.92,2.21,0.0

20190709:1411,5041.5,643.74,54.25,21.13,1.93,0.0

20190709:1511,5450.3,698.55,47.31,21.59,1.86,0.0

20190709:1611,3069.0,392.27,38.99,21.49,1.66,0.0

20190709:1711,1551.5,206.98,30.08,21.37,1.66,0.0

20190709:1811,1179.5,182.37,21.08,20.89,1.31,0.0

20190709:1911,136.2,29.51,12.38,19.89,1.17,0.0

20190709:2011,55.0,16.87,4.31,19.08,1.17,0.0

20190709:2111,0.0,0.0,0.0,18.15,1.24,0.0

20190709:2211,0.0,0.0,0.0,17.13,1.52,0.0

20190709:2311,0.0,0.0,0.0,16.42,1.66,0.0

20190710:0011,0.0,0.0,0.0,15.97,1.52,0.0

20190710:0111,0.0,0.0,0.0,15.6,1.31,0.0

20190710:0211,0.0,0.0,0.0,15.08,1.1,0.0

20190710:0311,0.0,0.0,0.0,14.78,1.03,0.0

20190710:0411,0.0,0.0,0.0,14.62,1.24,0.0

20190710:0511,152.4,31.2,6.0,14.47,1.59,0.0

20190710:0611,514.1,77.58,14.25,14.6,1.72,0.0

20190710:0711,800.2,112.18,23.05,15.13,2.34,0.0

20190710:0811,1163.0,155.15,32.07,15.88,2.97,0.0

20190710:0911,1330.1,175.1,40.89,16.27,2.83,0.0

20190710:1011,1134.5,152.42,48.97,16.69,2.62,0.0

20190710:1111,2386.2,301.81,55.42,17.55,2.41,0.0

20190710:1211,2346.3,298.1,58.95,18.26,2.41,0.0

20190710:1311,1665.8,217.74,58.47,19.52,2.76,0.0

20190710:1411,868.1,122.48,54.15,20.05,3.17,0.0

20190710:1511,786.3,112.5,47.23,19.84,3.1,0.0

20190710:1611,440.4,69.86,38.92,19.66,2.97,0.0

20190710:1711,285.5,49.9,30.0,19.36,2.62,0.0

20190710:1811,306.5,52.62,21.01,19.08,2.0,0.0

20190710:1911,366.0,59.87,12.3,17.26,2.07,0.0

20190710:2011,0.0,3.37,4.23,16.99,2.14,0.0

20190710:2111,0.0,0.0,0.0,16.49,2.34,0.0

20190710:2211,0.0,0.0,0.0,15.9,2.48,0.0

20190710:2311,0.0,0.0,0.0,15.59,2.76,0.0

20190711:0011,0.0,0.0,0.0,15.28,2.69,0.0

20190711:0111,0.0,0.0,0.0,15.17,2.76,0.0

20190711:0211,0.0,0.0,0.0,15.05,2.69,0.0

20190711:0311,0.0,0.0,0.0,15.03,2.76,0.0

20190711:0411,0.0,0.0,0.0,15.09,2.76,0.0

20190711:0511,61.5,17.71,5.88,15.2,2.69,0.0

20190711:0611,232.3,42.16,14.13,15.34,2.55,0.0

20190711:0711,855.8,119.11,22.93,15.76,2.83,0.0

20190711:0811,1757.1,225.61,31.95,16.11,2.55,0.0

20190711:0911,1794.1,229.87,40.77,16.41,2.55,0.0

20190711:1011,3448.8,428.28,48.85,16.9,2.41,0.0

20190711:1111,1987.8,254.38,55.29,17.79,2.69,0.0

20190711:1211,4341.4,541.58,58.82,18.66,3.03,0.0

20190711:1311,5187.5,650.25,58.35,19.53,3.31,0.0

20190711:1411,3975.9,498.02,54.05,20.15,3.38,0.0

20190711:1511,4185.0,521.76,47.14,20.12,3.79,0.0

20190711:1611,4450.5,553.49,38.84,19.65,3.86,0.0

20190711:1711,2602.9,333.64,29.93,19.13,3.72,0.0

20190711:1811,1163.9,162.81,20.93,18.32,3.1,0.0

20190711:1911,431.6,68.3,12.22,18.0,2.83,0.0

20190711:2011,0.0,5.06,4.14,17.43,2.9,0.0

20190711:2111,0.0,0.0,0.0,16.88,2.69,0.0

20190711:2211,0.0,0.0,0.0,16.04,2.62,0.0

20190711:2311,0.0,0.0,0.0,15.5,2.76,0.0

20190712:0011,0.0,0.0,0.0,14.99,2.97,0.0

20190712:0111,0.0,0.0,0.0,14.66,3.1,0.0

20190712:0211,0.0,0.0,0.0,14.39,2.9,0.0

20190712:0311,0.0,0.0,0.0,14.13,2.97,0.0

20190712:0411,0.0,0.0,0.0,13.96,2.9,0.0

20190712:0511,41.9,14.34,5.75,13.85,3.1,0.0

20190712:0611,502.9,75.89,14.0,13.89,3.24,0.0

20190712:0711,1324.2,176.86,22.81,14.26,3.59,0.0

20190712:0811,2101.7,263.84,31.83,14.69,4.07,0.0

20190712:0911,2390.6,296.86,40.65,15.07,4.07,0.0

20190712:1011,3170.4,389.5,48.72,15.77,4.07,0.0

20190712:1111,4911.6,602.38,55.15,16.34,3.86,0.0

20190712:1211,2993.6,371.99,58.69,17.07,3.72,0.0

20190712:1311,2372.3,299.02,58.23,17.44,3.38,0.0

20190712:1411,2010.7,256.54,53.94,17.71,3.24,0.0

20190712:1511,2810.5,351.42,47.05,17.94,3.38,0.0

20190712:1611,2637.5,330.6,38.75,17.77,3.24,0.0

20190712:1711,1493.7,195.58,29.85,17.58,3.38,0.0

20190712:1811,519.3,78.93,20.85,17.24,3.17,0.0

20190712:1911,309.0,52.28,12.13,15.99,2.9,0.0

20190712:2011,0.0,4.22,4.04,15.65,2.83,0.0

20190712:2111,0.0,0.0,0.0,15.28,2.76,0.0

20190712:2211,0.0,0.0,0.0,14.92,2.76,0.0

20190712:2311,0.0,0.0,0.0,14.54,2.69,0.0

20190713:0011,0.0,0.0,0.0,14.23,2.69,0.0

20190713:0111,0.0,0.0,0.0,13.97,2.48,0.0

20190713:0211,0.0,0.0,0.0,13.56,2.21,0.0

20190713:0311,0.0,0.0,0.0,13.19,2.14,0.0

20190713:0411,0.0,0.0,0.0,12.68,2.07,0.0

20190713:0511,0.0,4.22,5.62,12.46,2.14,0.0

20190713:0611,554.6,81.8,13.88,12.83,3.17,0.0

20190713:0711,804.6,111.86,22.68,13.31,3.1,0.0

20190713:0811,1251.9,164.28,31.7,14.02,3.03,0.0

20190713:0911,1796.0,228.08,40.52,14.82,3.17,0.0

20190713:1011,2666.6,330.77,48.58,15.3,3.03,0.0

20190713:1111,4406.5,542.87,55.01,15.82,2.69,0.0

20190713:1211,4054.7,502.85,58.54,16.82,2.55,0.0

20190713:1311,7095.1,903.73,58.09,17.54,2.48,0.0

20190713:1411,6968.7,885.95,53.82,18.34,2.62,0.0

20190713:1511,5856.4,734.18,46.95,18.67,2.76,0.0

20190713:1611,4208.1,525.16,38.66,19.16,2.9,0.0

20190713:1711,2827.4,364.43,29.76,19.14,2.9,0.0

20190713:1811,1212.2,179.81,20.76,18.91,2.76,0.0

20190713:1911,432.5,68.3,12.04,17.52,2.48,0.0

20190713:2011,60.8,17.71,3.94,17.04,2.0,0.0

20190713:2111,0.0,0.0,0.0,16.35,1.72,0.0

20190713:2211,0.0,0.0,0.0,15.79,1.72,0.0

20190713:2311,0.0,0.0,0.0,15.0,1.72,0.0

20190714:0011,0.0,0.0,0.0,14.34,1.72,0.0

20190714:0111,0.0,0.0,0.0,13.72,1.72,0.0

20190714:0211,0.0,0.0,0.0,13.1,1.72,0.0

20190714:0311,0.0,0.0,0.0,12.53,1.72,0.0

20190714:0411,0.0,0.0,0.0,11.95,1.72,0.0

20190714:0511,130.7,27.83,5.48,11.51,1.66,0.0

20190714:0611,382.4,60.72,13.74,12.02,1.45,0.0

20190714:0711,1561.9,228.17,22.55,12.6,2.07,0.0

20190714:0811,3539.4,442.57,31.57,13.76,1.79,0.0

20190714:0911,5315.6,658.98,40.39,15.13,1.72,0.0

20190714:1011,6615.5,837.92,48.44,16.54,1.72,0.0

20190714:1111,7444.9,966.15,54.86,17.86,1.66,0.0

20190714:1211,7729.4,1016.89,58.39,19.02,1.66,0.0

20190714:1311,7698.3,1015.68,57.95,19.94,1.72,0.0

20190714:1411,7247.5,950.55,53.7,20.72,1.72,0.0

20190714:1511,6215.2,805.09,46.84,21.39,1.59,0.0

20190714:1611,4715.8,603.38,38.56,21.57,1.59,0.0

20190714:1711,3040.2,400.69,29.66,21.42,1.72,0.0

20190714:1811,1104.0,185.02,20.66,20.99,2.07,0.0

20190714:1911,296.3,51.44,11.94,19.92,2.48,0.0

20190714:2011,60.3,17.71,3.84,18.47,2.34,0.0

20190714:2111,0.0,0.0,0.0,16.93,1.93,0.0

20190714:2211,0.0,0.0,0.0,15.78,1.66,0.0

20190714:2311,0.0,0.0,0.0,14.9,1.59,0.0

20190715:0011,0.0,0.0,0.0,14.05,1.45,0.0

20190715:0111,0.0,0.0,0.0,13.24,1.38,0.0

20190715:0211,0.0,0.0,0.0,12.41,1.17,0.0

20190715:0311,0.0,0.0,0.0,11.38,0.97,0.0

20190715:0411,0.0,0.0,0.0,10.76,0.55,0.0

20190715:0511,131.2,27.83,5.34,10.62,0.48,0.0

20190715:0611,403.6,63.24,13.61,11.38,0.48,0.0

20190715:0711,1556.4,226.84,22.42,12.36,0.83,0.0

20190715:0811,3500.2,439.64,31.43,13.44,1.03,0.0

20190715:0911,4603.4,572.63,40.25,15.55,1.31,0.0

20190715:1011,6269.7,796.32,48.3,17.5,1.66,0.0

20190715:1111,6841.7,882.19,54.71,19.3,2.0,0.0

20190715:1211,6053.0,769.4,58.24,20.69,3.1,0.0

20190715:1311,3599.0,453.93,57.81,21.52,3.72,0.0

20190715:1411,3755.6,471.79,53.57,21.19,3.86,0.0

20190715:1511,5019.1,628.04,46.73,20.92,3.86,0.0

20190715:1611,4827.9,602.83,38.46,20.45,3.79,0.0

20190715:1711,1928.3,250.6,29.56,20.03,3.59,0.0

20190715:1811,983.9,138.64,20.56,19.56,3.24,0.0

20190715:1911,55.2,16.87,11.83,18.55,2.69,0.0

20190715:2011,0.0,2.53,3.72,17.75,2.34,0.0

20190715:2111,0.0,0.0,0.0,16.86,2.21,0.0

20190715:2211,0.0,0.0,0.0,16.19,2.14,0.0

20190715:2311,0.0,0.0,0.0,15.59,2.14,0.0

20190716:0011,0.0,0.0,0.0,15.05,2.0,0.0

20190716:0111,0.0,0.0,0.0,14.64,1.93,0.0

20190716:0211,0.0,0.0,0.0,14.23,1.86,0.0

20190716:0311,0.0,0.0,0.0,14.03,1.72,0.0

20190716:0411,0.0,0.0,0.0,13.95,1.66,0.0

20190716:0511,77.8,20.24,5.2,14.17,1.59,0.0

20190716:0611,486.6,74.21,13.47,14.61,1.93,0.0

20190716:0711,1430.6,196.09,22.28,15.21,1.59,0.0

20190716:0811,2359.0,298.75,31.3,15.8,1.59,0.0

20190716:0911,1184.8,158.77,40.11,16.79,1.66,0.0

20190716:1011,640.7,94.35,48.15,18.45,1.86,0.0

20190716:1111,2954.8,372.78,54.55,19.19,2.48,0.0

20190716:1211,3091.8,388.1,58.08,18.97,3.1,0.0

20190716:1311,3475.4,435.52,57.65,19.27,3.03,0.0

20190716:1411,3138.3,394.72,53.44,19.82,3.24,0.0

20190716:1511,526.6,80.74,46.61,20.05,3.24,0.0

20190716:1611,2544.5,323.51,38.35,20.28,2.97,0.0

20190716:1711,1404.4,187.63,29.46,20.34,2.41,0.0

20190716:1811,1041.0,147.42,20.45,20.0,2.0,0.0

20190716:1911,428.3,68.3,11.72,19.17,1.38,0.0

20190716:2011,0.0,3.37,3.6,18.52,1.31,0.0

20190716:2111,0.0,0.0,0.0,17.47,1.38,0.0

20190716:2211,0.0,0.0,0.0,16.48,1.24,0.0

20190716:2311,0.0,0.0,0.0,15.53,1.31,0.0

20190717:0011,0.0,0.0,0.0,14.77,1.31,0.0

20190717:0111,0.0,0.0,0.0,14.28,1.24,0.0

20190717:0211,0.0,0.0,0.0,14.06,1.45,0.0

20190717:0311,0.0,0.0,0.0,14.04,1.72,0.0

20190717:0411,0.0,0.0,0.0,13.92,1.93,0.0

20190717:0511,0.0,3.37,5.05,13.54,2.14,0.0

